ingredient,variety,certification,emissions,category
grapefruit,fresh,conventional,0.39,Fruits
blueberries,fresh,conventional,0.54,Fruits
raspberries,fresh,conventional,1.2,Fruits
cherries,fresh,conventional,0.22,Fruits
honeyberries,fresh,conventional,0.22,Fruits
jabuticabas,fresh,conventional,0.22,Vegetables
surinam cherries,fresh,conventional,0.22,Fruits
mango,fresh,conventional,1.73,Fruits
passion fruit,fresh,conventional,2.3,Fruits
ackee,fresh,conventional,0.22,Fish and Seafood
damson,fresh,conventional,0.22,"Grains, Beans and Nuts"
jambul,fresh,conventional,0.22,Meat and Poultry
japanese plum,fresh,conventional,0.22,Fruits
gooseberries,fresh,conventional,0.69,Fruits
watermelon,fresh,conventional,0.35,Fruits
icing sugar,fresh,conventional,0.49,Dairy Foods
vegetable stock,fresh,conventional,1.49,Vegetables
honey,fresh,conventional,1.92,Fruits
chicken broth,fresh,conventional,1.51,Meat and Poultry
coconut milk,fresh,conventional,0.54,Dairy Foods
beef broth,fresh,conventional,1.78,Vegetables
pea veggie burger,fresh,conventional,1.8,Vegetables
soy veggie burger,fresh,conventional,1.1,Vegetables
peanut butter,fresh,conventional,2.0,Dairy Foods
pastry,fresh,conventional,1.6,Dairy Foods
puff pastry,fresh,conventional,1.6,Dairy Foods
veggie nugget,fresh,conventional,1.3,Vegetables
veggie patty,fresh,conventional,1.3,Meat and Poultry
gnocchi,fresh,conventional,0.6,Vegetables
chicken nuggets,fresh,conventional,3.3,Meat and Poultry
chicken cold cuts,fresh,conventional,2.9,Meat and Poultry
coffee powder,fresh,conventional,5.6,Dairy Foods
cocoa powder,fresh,conventional,5.0,Dairy Foods
cheese emmentaler,fresh,conventional,6.0,Dairy Foods
parmesan,fresh,conventional,6.3,Dairy Foods
lupin flour,fresh,conventional,0.4,"Grains, Beans and Nuts"
spelt drink,fresh,conventional,0.3,Fruits
oats drink,fresh,conventional,0.3,Fruits
almond drink,fresh,conventional,0.3,Fruits
mineral water,fresh,conventional,0.2857143,Fruits
soy curd,fresh,conventional,0.7,Fish and Seafood
beef mince,fresh,conventional,9.2,Meat and Poultry
apple juice,fresh,conventional,0.4,Fruits
orange juice,fresh,conventional,0.7,Fruits
dark chocolate,fresh,conventional,4.1,Dairy Foods
milk chocolade,fresh,conventional,4.1,Dairy Foods
white chocolate,fresh,conventional,4.1,Dairy Foods
tempeh,fresh,conventional,0.7,Meat and Poultry
venison,fresh,conventional,11.5,Meat and Poultry
vegan sausage,fresh,conventional,1.7,Meat and Poultry
thuringian sausage,fresh,conventional,2.9,Meat and Poultry
beef cold cuts,fresh,conventional,7.9,Meat and Poultry
ham,fresh,conventional,3.23,Dairy Foods
bacon,fresh,conventional,3.23,Meat and Poultry
cashew nuts,fresh,conventional,4.7985316,"Grains, Beans and Nuts"
chestnuts,fresh,conventional,2.8097916,Vegetables
hazelnuts,fresh,conventional,1.7768884,"Grains, Beans and Nuts"
pistachios,fresh,conventional,3.0648319,Fruits
artichoke,fresh,conventional,1.0115564,Vegetables
jerusalem artichoke,fresh,conventional,1.0115564,Vegetables
chicory,fresh,conventional,0.5924849,"Grains, Beans and Nuts"
endive,fresh,conventional,0.5924849,Vegetables
cheddar cheese,fresh,conventional,15.1549862,Dairy Foods
quinoa,fresh,conventional,0.65,"Grains, Beans and Nuts"
almonds,fresh,conventional,2.25,"Grains, Beans and Nuts"
apple,fresh,conventional,0.437,Fruits
crab apple,fresh,conventional,0.437,Fruits
fuji apple,fresh,conventional,0.437,Fruits
apricot,fresh,conventional,0.314,Fruits
eggplant,fresh,conventional,4.59,Vegetables
avocado,fresh,conventional,0.956,Fruits
banana,fresh,conventional,0.395,Fruits
barley,fresh,conventional,0.602,Vegetables
pearl barley,fresh,conventional,0.602,Vegetables
barley,fresh,organic,0.363,Vegetables
barley,fresh,swiss integrated production,0.415,Vegetables
broccoli,fresh,conventional,0.53,Vegetables
butter,fresh,conventional,8.49,Dairy Foods
buttermilk,fresh,conventional,3.73,Dairy Foods
red cabbage,fresh,conventional,0.415,Vegetables
bok choy,fresh,conventional,0.407,Vegetables
white cabbage,fresh,conventional,0.407,Vegetables
baby carrot,fresh,conventional,0.265,Vegetables
carrot,fresh,conventional,0.265,Vegetables
beef,fresh,conventional,14.9,Meat and Poultry
cauliflower,fresh,conventional,0.486,Vegetables
celeriac,fresh,conventional,0.552,Vegetables
celery,fresh,conventional,0.552,Vegetables
cheese,fresh,conventional,14.9,Dairy Foods
chicken,fresh,conventional,2.48,Meat and Poultry
cocoa beans,fresh,conventional,19.7,"Grains, Beans and Nuts"
coconut oil,fresh,conventional,2.98,"Grains, Beans and Nuts"
coconut,fresh,conventional,0.912,"Grains, Beans and Nuts"
coffee,fresh,conventional,7.75,Dairy Foods
coffee beans,fresh,conventional,7.75,"Grains, Beans and Nuts"
cottonseed oil,fresh,conventional,1.82,Dairy Foods
full cream milk,fresh,conventional,1.98,Dairy Foods
milk,fresh,conventional,1.98,Dairy Foods
cream,fresh,conventional,2.99,Dairy Foods
sour cream,fresh,conventional,2.99,Dairy Foods
cucumber,fresh,conventional,3.38,Vegetables
beans,fresh,organic,0.711,"Grains, Beans and Nuts"
black beans,fresh,organic,0.711,"Grains, Beans and Nuts"
borlotti beans,fresh,organic,0.711,Meat and Poultry
broad beans,fresh,organic,0.711,"Grains, Beans and Nuts"
fava beans,fresh,organic,0.711,"Grains, Beans and Nuts"
green beans,fresh,organic,0.711,Vegetables
kidney beans,fresh,organic,0.711,"Grains, Beans and Nuts"
mung beans,fresh,conventional,0.711,"Grains, Beans and Nuts"
navy beans,fresh,conventional,0.711,"Grains, Beans and Nuts"
pinto beans,fresh,organic,0.711,"Grains, Beans and Nuts"
runner beans,fresh,organic,0.711,"Grains, Beans and Nuts"
beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
black beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
borlotti beans,fresh,swiss integrated production,0.537,Meat and Poultry
